Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance
1,Manchester City,38,28,5,5,93,29,+64,89,2.34,47045
2,Manchester Utd,38,28,5,5,89,33,+56,89,2.34,75387
3,Arsenal,38,21,7,10,74,49,+25,70,1.84,60000
4,Tottenham,38,20,9,9,66,41,+25,69,1.82,36036
5,Newcastle Utd,38,19,8,11,56,51,+5,65,1.71,49951
6,Chelsea,38,18,10,10,65,46,+19,64,1.68,41484
7,Everton,38,15,11,12,50,40,+10,56,1.47,33228
8,Liverpool,38,14,10,14,47,40,+7,52,1.37,44253
9,Fulham,38,14,10,14,48,51,-3,52,1.37,25399
10,West Brom,38,13,8,17,45,52,-7,47,1.24,24770
11,Swansea City,38,12,11,15,44,51,-7,47,1.24,19946
12,Norwich City,38,12,11,15,52,66,-14,47,1.24,26606
13,Sunderland,38,11,12,15,45,46,-1,45,1.18,39047
14,Stoke City,38,11,12,15,36,53,-17,45,1.18,27226
15,Wigan Athletic,38,11,10,17,42,62,-20,43,1.13,18634
16,Aston Villa,38,7,17,14,37,53,-16,38,1,33883
17,QPR,38,10,7,21,43,66,-23,37,0.97,17295
18,Bolton,38,10,6,22,46,77,-31,36,0.95,23670
19,Blackburn,38,8,7,23,48,78,-30,31,0.82,22551
20,Wolves,38,5,10,23,40,82,-42,25,0.66,25677
