Squad,#,Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Arsenal,,32,25.2,,,38,,100,,,418,108,,0,1.84,74,49,,+25
Aston Villa,,27,27.3,,,38,,100,,,418,94,,0,1,37,53,,-16
Blackburn,,31,25.5,,,38,,100,,,418,87,,0,0.82,48,78,,-30
Bolton,,30,27.4,,,38,,100,,,418,104,,0,0.95,46,77,,-31
Chelsea,,29,27.6,,,38,,100,,,418,104,,0,1.68,65,46,,+19
Everton,,29,28.6,,,38,,100,,,407,110,,0,1.47,50,40,,+10
Fulham,,28,29.6,,,38,,100,,,418,85,,0,1.37,48,51,,-3
Liverpool,,26,26.3,,,38,,100,,,418,91,,0,1.37,47,40,,+7
Manchester City,,24,25.8,,,38,,100,,,418,110,,0,2.34,93,29,,+64
Manchester Utd,,31,26.3,,,38,,100,,,418,100,,0,2.34,89,33,,+56
Newcastle Utd,,26,25.6,,,38,,100,,,418,112,,0,1.71,56,51,,+5
Norwich City,,27,25.8,,,38,,100,,,418,111,,0,1.24,52,66,,-14
QPR,,34,28.8,,,38,,100,,,418,89,,0,0.97,43,66,,-23
Stoke City,,23,27.9,,,38,,100,,,418,107,,0,1.18,36,53,,-17
Sunderland,,28,25.8,,,38,,100,,,418,92,,0,1.18,45,46,,-1
Swansea City,,25,25.4,,,38,,100,,,418,94,,0,1.24,44,51,,-7
Tottenham,,29,27.6,,,38,,100,,,418,94,,0,1.82,66,41,,+25
West Brom,,25,27.8,,,38,,100,,,418,101,,0,1.24,45,52,,-7
Wigan Athletic,,23,26.3,,,38,,100,,,418,102,,0,1.13,42,62,,-20
Wolves,,32,26,,,38,,100,,,418,108,,0,0.66,40,82,,-42
