Squad,#,Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,,27,24.4,52.8,60,41,55,5,8,67,4,1.58,1.08,2.66,1.45,2.53,67.3,62.3,46.4,108.7,1.77,1.22,2.99,1.64,2.86
Aston Villa,,31,26.1,46.5,50,42,47,3,3,81,2,1.32,1.11,2.42,1.24,2.34,47.9,45.9,37.9,83.8,1.26,1,2.26,1.21,2.21
Brentford,,29,25.4,44.8,46,33,40,6,6,65,3,1.21,0.87,2.08,1.05,1.92,51.1,46.4,36.6,83,1.35,0.96,2.31,1.22,2.18
Brighton,,26,26.2,54.4,40,30,36,4,7,72,2,1.05,0.79,1.84,0.95,1.74,53,47.5,37.3,84.9,1.4,0.98,2.38,1.25,2.23
Burnley,,23,28.5,40.2,32,26,31,1,2,68,2,0.84,0.68,1.53,0.82,1.5,43.8,42.8,34.1,76.8,1.15,0.9,2.05,1.13,2.02
Chelsea,,26,27.4,61.8,75,52,67,8,9,63,1,1.97,1.37,3.34,1.76,3.13,70.7,64,51.5,115.6,1.86,1.36,3.22,1.69,3.04
Crystal Palace,,24,27.1,51.1,50,31,44,6,8,69,1,1.32,0.82,2.13,1.16,1.97,53.8,47.6,36.7,84.2,1.42,0.97,2.38,1.25,2.22
Everton,,33,26.7,40,42,29,36,6,7,82,6,1.11,0.76,1.87,0.95,1.71,47.5,42.1,33.5,75.6,1.25,0.88,2.13,1.11,1.99
Leeds United,,29,26.1,52.3,42,26,37,5,5,101,3,1.11,0.68,1.79,0.97,1.66,50.4,46.5,35.8,82.3,1.33,0.94,2.27,1.22,2.17
Leicester City,,28,26.5,52,62,46,60,2,2,55,1,1.63,1.21,2.84,1.58,2.79,52.1,50.6,37.5,88.1,1.37,0.99,2.36,1.33,2.32
Liverpool,,27,27.7,62.7,94,71,87,7,8,50,1,2.47,1.87,4.34,2.29,4.16,95.1,89.3,67.9,157.1,2.5,1.79,4.29,2.35,4.14
Manchester City,,26,27,67.9,96,63,89,7,9,42,1,2.53,1.66,4.18,2.34,4,96.6,89.3,70.5,159.8,2.54,1.86,4.4,2.35,4.21
Manchester Utd,,29,27.2,52.7,56,46,53,3,5,77,2,1.47,1.21,2.68,1.39,2.61,61.7,57.8,47.8,105.6,1.62,1.26,2.88,1.52,2.78
Newcastle Utd,,29,27.5,40.4,41,23,38,3,3,81,2,1.08,0.61,1.68,1,1.61,44.4,42.1,30.4,72.5,1.17,0.8,1.97,1.11,1.91
Norwich City,,28,26.2,42.9,21,16,18,3,3,57,1,0.55,0.42,0.97,0.47,0.89,35.7,33.3,26.3,59.6,0.94,0.69,1.63,0.88,1.57
Southampton,,25,25.7,47.7,41,26,37,4,4,65,2,1.08,0.68,1.76,0.97,1.66,49.9,46.7,35.8,82.5,1.31,0.94,2.25,1.23,2.17
Tottenham,,25,26.5,51.8,63,50,58,5,5,69,1,1.66,1.32,2.97,1.53,2.84,66.5,62.6,50.3,112.9,1.75,1.32,3.07,1.65,2.97
Watford,,30,28.4,40.7,33,26,32,1,2,63,3,0.87,0.68,1.55,0.84,1.53,44.3,42.7,36.1,78.9,1.17,0.95,2.12,1.12,2.08
West Ham,,25,28.2,47.9,58,46,54,4,6,52,3,1.53,1.21,2.74,1.42,2.63,58,53.7,42.4,96.1,1.53,1.12,2.64,1.41,2.53
Wolves,,26,27.3,49.5,35,22,34,1,1,62,2,0.92,0.58,1.5,0.89,1.47,41.2,40.6,29,69.6,1.08,0.76,1.85,1.07,1.83
