Squad,#,Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Arsenal,,27,38,1029,27.08,787,68,57,66,39,12,99,2.61,69,8,4,13,4,1
Aston Villa,,31,38,836,22,609,84,48,41,48,6,93,2.45,65,9,9,7,3,0
Brentford,,29,38,740,19.47,488,96,37,62,43,14,79,2.08,46,11,5,8,9,0
Brighton,,26,38,868,22.84,631,84,47,54,39,13,72,1.89,50,8,3,6,4,1
Burnley,,23,38,674,17.74,455,81,28,50,50,10,60,1.58,39,9,5,3,4,0
Chelsea,,26,38,1064,28,819,62,47,75,49,12,135,3.55,97,9,8,10,9,2
Crystal Palace,,24,38,712,18.74,500,63,44,46,43,16,81,2.13,53,3,7,8,9,1
Everton,,33,38,741,19.5,532,69,44,42,45,9,68,1.79,46,4,4,6,8,0
Leeds United,,29,38,824,21.68,587,70,51,60,42,14,66,1.74,36,2,10,10,5,3
Leicester City,,28,38,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4
Liverpool,,27,38,1249,32.87,911,105,63,104,50,16,164,4.32,121,9,10,19,5,0
Manchester City,,26,38,1286,33.84,997,78,70,88,42,11,158,4.16,112,10,6,19,8,3
Manchester Utd,,29,38,917,24.13,705,65,57,38,39,13,104,2.74,77,6,6,7,5,3
Newcastle Utd,,29,38,757,19.92,504,81,61,57,43,11,70,1.84,46,4,5,9,6,0
Norwich City,,28,38,637,16.76,435,67,41,33,50,11,35,0.92,27,2,1,1,3,1
Southampton,,25,38,814,21.42,586,68,43,51,49,17,71,1.87,44,5,6,4,9,3
Tottenham,,25,38,879,23.13,677,51,46,60,37,8,116,3.05,95,3,4,8,6,0
Watford,,30,38,692,18.21,475,59,48,43,52,15,57,1.5,36,5,4,7,3,2
West Ham,,25,38,769,20.24,569,68,47,50,27,8,102,2.68,72,10,5,9,5,1
Wolves,,26,38,692,18.21,496,44,65,37,31,19,58,1.53,37,4,5,8,2,2
